word1,word2,human_score,Word2Vec_Similarity,BERT_Similarity,Transformer_Similarity,Word2Vec_Correlation,BERT_Correlation,Transformer_Correlation
admission,ticket,5.536,0.4368831515312195,0.842138409614563,0.842138409614563,0.6895788373391425,0.2718943817019939,0.2718943817019939
alcohol,chemistry,4.125,0.08876197040081024,0.7180204391479492,0.7180204391479492,0.6895788373391425,0.2718943817019939,0.2718943817019939
aluminum,metal,6.625,0.6375763416290283,0.8488578796386719,0.8488578796386719,0.6895788373391425,0.2718943817019939,0.2718943817019939
announcement,effort,2.0625,0.23130609095096588,0.884056031703949,0.884056031703949,0.6895788373391425,0.2718943817019939,0.2718943817019939
announcement,news,7.1875,0.4673331081867218,0.8833085894584656,0.8833085894584656,0.6895788373391425,0.2718943817019939,0.2718943817019939
announcement,production,1.6875,0.08066592365503311,0.7522707581520081,0.7522707581520081,0.6895788373391425,0.2718943817019939,0.2718943817019939
announcement,warning,4.625,0.24619010090827942,0.9249014854431152,0.9249014854431152,0.6895788373391425,0.2718943817019939,0.2718943817019939
architecture,century,1.929,0.1430933028459549,0.6909361481666565,0.6909361481666565,0.6895788373391425,0.2718943817019939,0.2718943817019939
arrangement,accommodation,5.125,0.2305612564086914,0.7886123657226562,0.7886123657226562,0.6895788373391425,0.2718943817019939,0.2718943817019939
arrival,hotel,2.1875,0.15935498476028442,0.7894852161407471,0.7894852161407471,0.6895788373391425,0.2718943817019939,0.2718943817019939
asylum,madhouse,8.0625,0.2525393068790436,0.7411993145942688,0.7411993145942688,0.6895788373391425,0.2718943817019939,0.2718943817019939
atmosphere,landscape,3.5625,0.2697125971317291,0.7953051924705505,0.7953051924705505,0.6895788373391425,0.2718943817019939,0.2718943817019939
attempt,peace,0.9375,0.06137871742248535,0.8381396532058716,0.8381396532058716,0.6895788373391425,0.2718943817019939,0.2718943817019939
baby,mother,5.25,0.5839769840240479,0.8650174140930176,0.8650174140930176,0.6895788373391425,0.2718943817019939,0.2718943817019939
bank,money,6.625,0.26132065057754517,0.8403955698013306,0.8403955698013306,0.6895788373391425,0.2718943817019939,0.2718943817019939
baseball,season,3.2565,0.2622438371181488,0.6247228384017944,0.6247228384017944,0.6895788373391425,0.2718943817019939,0.2718943817019939
bed,closet,2.25,0.4319477379322052,0.7989559173583984,0.7989559173583984,0.6895788373391425,0.2718943817019939,0.2718943817019939
benchmark,index,5.5,0.4951688349246979,0.7789708375930786,0.7789708375930786,0.6895788373391425,0.2718943817019939,0.2718943817019939
bird,cock,5.875,0.36290243268013,0.8204358220100403,0.8204358220100403,0.6895788373391425,0.2718943817019939,0.2718943817019939
bird,crane,4.8125,0.30286192893981934,0.8912442922592163,0.8912442922592163,0.6895788373391425,0.2718943817019939,0.2718943817019939
bishop,rabbi,5.375,0.42778125405311584,0.8068992495536804,0.8068992495536804,0.6895788373391425,0.2718943817019939,0.2718943817019939
board,recommendation,1.25,0.321181058883667,0.8762602210044861,0.8762602210044861,0.6895788373391425,0.2718943817019939,0.2718943817019939
book,library,5.3125,0.324531227350235,0.7843698263168335,0.7843698263168335,0.6895788373391425,0.2718943817019939,0.2718943817019939
book,paper,5.875,0.3634625971317291,0.8216158151626587,0.8216158151626587,0.6895788373391425,0.2718943817019939,0.2718943817019939
boxing,round,4.1875,0.177592471241951,0.6944809556007385,0.6944809556007385,0.6895788373391425,0.2718943817019939,0.2718943817019939
boy,lad,7.844,0.588615894317627,0.8961002826690674,0.8961002826690674,0.6895788373391425,0.2718943817019939,0.2718943817019939
bread,butter,4.1875,0.6417260766029358,0.9108768701553345,0.9108768701553345,0.6895788373391425,0.2718943817019939,0.2718943817019939
brother,monk,4.25,0.22320020198822021,0.8221115469932556,0.8221115469932556,0.6895788373391425,0.2718943817019939,0.2718943817019939
calculation,computation,8.0565,0.6076956391334534,0.9067845940589905,0.9067845940589905,0.6895788373391425,0.2718943817019939,0.2718943817019939
canyon,landscape,5.25,0.24369584023952484,0.7929172515869141,0.7929172515869141,0.6895788373391425,0.2718943817019939,0.2718943817019939
car,automobile,9.369,0.5838367938995361,0.8440613746643066,0.8440613746643066,0.6895788373391425,0.2718943817019939,0.2718943817019939
car,flight,2.4375,0.14423443377017975,0.7347318530082703,0.7347318530082703,0.6895788373391425,0.2718943817019939,0.2718943817019939
cell,phone,6.25,0.28629881143569946,0.832440972328186,0.832440972328186,0.6895788373391425,0.2718943817019939,0.2718943817019939
cemetery,woodland,2.3125,0.3819250762462616,0.7970576286315918,0.7970576286315918,0.6895788373391425,0.2718943817019939,0.2718943817019939
century,nation,2.1875,0.2919147312641144,0.5968813896179199,0.5968813896179199,0.6895788373391425,0.2718943817019939,0.2718943817019939
century,year,4.0,0.3348371386528015,0.6826010942459106,0.6826010942459106,0.6895788373391425,0.2718943817019939,0.2718943817019939
championship,tournament,7.5,0.6655316948890686,0.7489021420478821,0.7489021420478821,0.6895788373391425,0.2718943817019939,0.2718943817019939
chance,credibility,2.163,0.23921890556812286,0.8452736735343933,0.8452736735343933,0.6895788373391425,0.2718943817019939,0.2718943817019939
change,attitude,3.375,0.2514270544052124,0.8228273391723633,0.8228273391723633,0.6895788373391425,0.2718943817019939,0.2718943817019939
chord,smile,0.8125,0.14869236946105957,0.7703840732574463,0.7703840732574463,0.6895788373391425,0.2718943817019939,0.2718943817019939
closet,clothes,4.625,0.4177303910255432,0.831348180770874,0.831348180770874,0.6895788373391425,0.2718943817019939,0.2718943817019939
coast,forest,2.125,0.23609790205955505,0.7995613813400269,0.7995613813400269,0.6895788373391425,0.2718943817019939,0.2718943817019939
coast,hill,2.3125,0.1611577570438385,0.7532232999801636,0.7532232999801636,0.6895788373391425,0.2718943817019939,0.2718943817019939
coast,shore,8.2755,0.5083667039871216,0.7966126799583435,0.7966126799583435,0.6895788373391425,0.2718943817019939,0.2718943817019939
company,stock,3.75,0.3415686786174774,0.8412569761276245,0.8412569761276245,0.6895788373391425,0.2718943817019939,0.2718943817019939
competition,price,3.0,0.17668065428733826,0.8498072624206543,0.8498072624206543,0.6895788373391425,0.2718943817019939,0.2718943817019939
computer,internet,6.125,0.4068623185157776,0.7531629204750061,0.7531629204750061,0.6895788373391425,0.2718943817019939,0.2718943817019939
computer,keyboard,5.9375,0.3963916301727295,0.9208616614341736,0.9208616614341736,0.6895788373391425,0.2718943817019939,0.2718943817019939
computer,laboratory,3.375,0.2875465452671051,0.8459937572479248,0.8459937572479248,0.6895788373391425,0.2718943817019939,0.2718943817019939
computer,news,1.6875,0.1039980947971344,0.8163297176361084,0.8163297176361084,0.6895788373391425,0.2718943817019939,0.2718943817019939
computer,software,6.1875,0.5444109439849854,0.8887893557548523,0.8887893557548523,0.6895788373391425,0.2718943817019939,0.2718943817019939
concert,virtuoso,3.6875,0.28570184111595154,0.3844040036201477,0.3844040036201477,0.6895788373391425,0.2718943817019939,0.2718943817019939
consumer,confidence,1.6875,0.19126538932323456,0.8237228989601135,0.8237228989601135,0.6895788373391425,0.2718943817019939,0.2718943817019939
consumer,energy,2.75,0.2461671233177185,0.900790274143219,0.900790274143219,0.6895788373391425,0.2718943817019939,0.2718943817019939
country,citizen,4.3125,0.20985934138298035,0.7060869932174683,0.7060869932174683,0.6895788373391425,0.2718943817019939,0.2718943817019939
crane,implement,2.125,0.023186152800917625,0.8323759436607361,0.8323759436607361,0.6895788373391425,0.2718943817019939,0.2718943817019939
credit,card,4.5625,0.2681569457054138,0.8154978156089783,0.8154978156089783,0.6895788373391425,0.2718943817019939,0.2718943817019939
credit,information,3.644,0.11662980914115906,0.8036027550697327,0.8036027550697327,0.6895788373391425,0.2718943817019939,0.2718943817019939
cucumber,potato,4.0625,0.5678561925888062,0.506600558757782,0.506600558757782,0.6895788373391425,0.2718943817019939,0.2718943817019939
cup,article,1.3125,0.08339212834835052,0.8322046995162964,0.8322046995162964,0.6895788373391425,0.2718943817019939,0.2718943817019939
cup,artifact,2.5,0.0336991585791111,0.845284640789032,0.845284640789032,0.6895788373391425,0.2718943817019939,0.2718943817019939
cup,coffee,5.0625,0.3560178279876709,0.8438010811805725,0.8438010811805725,0.6895788373391425,0.2718943817019939,0.2718943817019939
